label,text
11,A Phase II Study of Non-Coplanar SBRT Re-Irradiation Using HyperArc in Patients With Recurrent Head and Neck Cancer
1110,Adapting an Evidence-Based Program That Improves Oral Hygiene and Health for Assisted Living Residents With Dementia
11,A Phase I Study of Duvelisib in Combination With Nivolumab for Patients With Richter's Syndrome and Transformed Follicular Lymphoma
11,"IMPACT-TB (Imatinib Mesylate Per Oral as a Clinical Therapeutic for TB): A Phase II Clinical Trial of the Safety, Pharmacokinetics and Hematologic Effects of Imatinib on Myelopoiesis in Adults When Given With and Without Isoniazid and Rifabutin"
11,A Phase 2 Trial of the CDK4/6 Inhibitor Abemaciclib in Patients With Advanced and Refractory Well-Differentiated Gastroenteropancreatic Neuroendocrine Tumors (GEP NETs)
1103,Pilot Study of Dynamic Contrast Enhanced Computed Tomography (DCE-CT) Imaging for the Assessment of Radiation Therapy Outcome for Liver Cancer Patients
11,"A Phase 1b Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Safety, Pharmacokinetics, and Anti-viral Effects of Galidesivir Administered Via Intravenous Infusion to Subjects With Yellow Fever"
1109,"Reducing African Americans' Alzheimer's Disease Risk Through Exercise (RAATE)"""
11,Novel 3D Myeloma Organoid Platform to Study Disease Biology and Perform Chemosensitivity Assays for Patient-specific Care
1117,A Technology-Driven Intervention to Improve Identification and Management of Chronic Kidney Disease in Primary Care
1117,Peer Groups and Broad Social Motives' Influence on College Student Drinking: A Multimethod Approach Using Alcohol Administration and Daily Diary
11,Clinical Evaluation of a New Middle Ear Diagnostic to Support FDA Regulatory Clearance
1117,Evaluating Change in Drinking Identity as a Mechanism for Reducing Hazardous Drinking - Study 2
11,Response to Influenza Vaccine During Pregnancy
11,An Investigation of Postoperative Chronic Opioid Use and Its Associations With Other Clinical Factors Among Patients With Head and Neck Cancers
11,A Phase III Randomized Trial of Prophylactic Antiviral Therapy in Patients With Current or Past Hepatitis B Virus (HBV) Infection Receiving Anti-Cancer Therapy for Solid Tumors
11,"Combined Intrathecal and Intravenous VTS-270 Therapy for Liver and Neurological Disease Associated With Niemann-Pick Disease, Type C1"
11,The Implementation of a Reflex Locomotion Program According to Vojta Produces Short-term Automatic Postural Control Changes in Patients With Multiple Sclerosis.
1109,Targeting Verbal Short-term Memory in Conjunction With Transcranial Direct Current Stimulation (tDCS) in Neurodegenerative Disorders
11,Repeat Surgery for Patients With Post-operative Trachomatous Trichiasis Trial
17,"Image-Guided Cochlear Implant Programming: Pediatric Speech, Language, and Literacy"
1102,Supplementing L-citrulline to Overweight Late Asthma oNset Phenotypes to Increase Airway L-arginine/ADMA Ratio and Improve Asthma Control
1117,Presumptively Initiating Vaccines and Optimizing Talk With Motivational Interviewing (PIVOT With MI)
1109,Identification of Biomarkers in Spinocerebellar Ataxia 3
11,"A Phase I Study of PI3Kα,δ Inhibitor Copanlisib in Combination With PD-1 Antagonist Nivolumab in Patients With Transformed Chronic Lymphocytic Leukemia (Richter's Transformation) or Non-Hodgkin Lymphoma"
11,A Phase I/Ib Pilot Study of Combined Trabectedin and Venetoclax in Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma Resistant or Intolerant to a BTK Inhibitor
1117,Getting Off: : A Theory-based mHealth Intervention for Methamphetamine-using MSM
1117,"PNF 2.0: A Novel, Gamified, Facebook-Integrated Personalized Normative Feedback Intervention to Reduce Alcohol Use and Negative Consequences Among Sexual Minority Women"
1109,Pain Relief for OsteoArthritis Through Combined Treatment (PROACT)
11,Response to Live Attenuated Influenza Vaccine in Tonsillar Tissues and Blood
11,"Non-Alcoholic Fatty Liver Disease, the Hepatic Response to Oral Glucose, and the Effect of Semaglutide (NAFLD HEROES)"
11,Impact of Behavioral Treatment of Insomnia on Nighttime Urine Production
1106,How do the Neck Muscles Influence Head Acceleration During Sport-associated Impact Events in High School Athletes?
17,Media Multi-tasking and Cued Overeating: Assessing the Pathway and Piloting an Intervention Using an Attentional Network Framework
1102,An Information tecHnology Approach to implEmenting Depression treAtment in caRdiac patienTs: [iHeartDepCare Trial]
11,MVT-100: Advancing the Clinical Use of Perflutren Ultrasound Contrast Agents for Suboptimal Echocardiograms
11,An Open-Label Phase 3 Study of the Safety and Efficacy of Pegvisomant in Children With Growth Hormone Excess
11,A Phase II Study of Intensive Salvage Therapy Followed by Enasidenib for Patients With AML Harboring Mutations in IDH2 Who Have Failed or Been Refractory to One Prior Line of Therapy
11,Omalizumab as Monotherapy and as Adjunct Therapy to Multi-Allergen Oral Immunotherapy (OIT) in Food Allergic Children and Adults (CoFAR-11)
1117,Interventions to Help Infants and Children Recover in the Hospital
11,The Lung PCA: A Multi-Dimensional Atlas of Pulmonary Premalignancy
1117,Rural Survivorship naVigation Program (RSVP): Building Community Capacity for Cancer Control
11,Nutrition and Exercise Interventions to Reduce Androgen Deprivation Therapy-Induced Obese Frailty in Survivors of Advanced Prostate Cancer
1109,Gamma Induction for Amyloid Clearance in Alzheimer's Disease
11,A Phase II Study of the PARP Inhibitor Olaparib in Combination With the DNA Damaging Agent Temozolomide for the Treatment of Advanced Uterine Leiomyosarcoma
11,A Phase I Study of Safety and Immunogenicity of Survivin Long Peptide Vaccine (SurVaxM) in Patients With Metastatic Neuroendocrine Tumors (NETs)
1102,TrAstuzumab Cardiomyopathy Therapeutic Intervention With Carvedilol (TACTIC) Trial
11,"A Phase 1 Open Label, Dose-Escalation Clinical Trial to Evaluate the Safety and Immunogenicity of a Trivalent Virus-Like Particle (VLP) Encephalitis Vaccine, VRC-WEVVLP073-00-VP, in Healthy Adults"
9,A Percutaneous Ultrasound Device With Needle Guide for Vascular Access
1109,Retraining Reaching in Cerebellar Ataxia
17,Mechanisms Underlying Oxytocin's Analgesia in Older Adults
11,Prospective Study of Omission of Whole-breast Radiotherapy Following Breast-conserving Surgery in Patients With Very Low Risk Ductal Carcinoma in Situ of the Breast
1117,"Randomized, Double Blind, Placebo-Controlled Trial of the Efficacy of Intranasal Oxytocin for the Treatment of Alcohol Use Disorder"
11,"A Phase I/II, Open-label, Multi-center Study Evaluating the Safety and Efficacy of Ruxolitinib and CPX-351 in Combination for the Treatment of Secondary Acute Myeloid Leukemia Transformed From Myeloproliferative Neoplasms."
2,Translational Development of Photon-Counting CT Imaging
11,Phase I Open-Label Study of Safety and Immunogenicity of AD4-HIV Envelope Vaccine Vectors in Healthy Volunteers
1111,Effect of Low Fat Versus Low Carbohydrate Diets on Energy Metabolism
11,A Phase II Study of Olaparib and AZD6738 in Isocitrate Dehydrogenase (IDH) Mutant Solid Tumors
1117,Pharmacokinetics and Safety Profile of Digoxin in Infants With Single Ventricle Congenital Heart Disease
1117,Planning the mPACT Trial - mHealth Strategies for the Pediatric to Adult HIV Care Transition
1117,The Effect of Physical Activity on Cognition Relative to APOE Genotype (PAAD-2)
1117,Culturally Modified Family Based Therapy for Haitian Youth in South Florida
1117,Standardized Patient Encounters to Improve Counseling for Pre-Exposure Prophylaxis (PrEP) for HIV Prevention to Adolescent Girls and Young Women (AGYW) in Kenya
1117,CONNECTing Caregivers to Supportive Services (CONNECT): A Technology-Based Intervention to Connect Cancer Caregivers With Supportive Care Resources
11,Transdermal Estrogen for the Treatment of Bone Loss in Women With Anorexia Nervosa
1117,Communities Helping the Hearing of Infants by Reaching Parents: The CHHIRP Navigator Trial
11,Testing High Definition Transcranial Direct Current Stimulation (HD-tDCS) for Treatment of Mild Cognitive Impairment
1102,Evaluation of Obstructive Sleep Apnea in Head and Neck Cancer
1109,Neural Mechanisms of Mindfulness-based Cognitive Therapy (MBCT) for Posttraumatic Stress Disorder (PTSD)_single Site
1109,Neural Mechanisms of Mindfulness-based Cognitive Therapy (MBCT) for Posttraumatic Stress Disorder (PTSD)
1117,"Assessment of a Tailored Home-Based Exercise Program on Symptoms, Well-Being, and Resilience Among Cancer Survivors With Multiple Chronic Conditions"
1102,Studies on the Effects of Colchicine on Neutrophil Biology in Acute Myocardial Infarction: A Substudy of the CLEAR SYNERGY (OASIS 9) Trial
11,Formation of a Precision Oncology Registry
1102,Phase I Study to Evaluate Safety of Ruxolitinib in Combination With Venetoclax in Patients With Relapsed/Refractory Acute Myeloid Leukemia
11,"Cetuximab, Irinotecan and Fluorouracile in fiRst-line Treatment of Immunologically-selected Advanced Colorectal Cancer Patients: the CIFRA Study"
1701,Clinical Trial of the Effects of Therapy Dogs on Social Behavior in Group Social Skills Instruction With Children With Autism
11,A Phase II Study of Open Label Low Dose Ipilimumab in Combination With Pembrolizumab in Metastatic Melanoma Patients With Brain Metastases
11,A Phase I Study to Evaluate PSCA-Targeting Chimeric Antigen Receptor (CAR)-T Cells for Patients With Metastatic Castration Resistant Prostate Cancer
11,A Randomized Clinical Trial of Persistence Targeted Smoking Cessation in Schizophrenia (PTSC-S)
1117,Developing Real Incentives and Volition for Exercise Project
11,Modulating Glucose Tolerance With Dietary Tyrosine
11,"A Phase II Basket Trial of Glutaminase Inhibitor (BeGIN) CB-839 HCl in Patients With NF1 Aberrations, NF1 Mutant Malignant Peripheral Nerve Sheath Tumors (MPNST), KEAP1/NRF2 and LKB1 Aberrant Tumors"
1109,Emotion Study (Improving Neural Dysregulation in Advanced Age: A Neurofeedback Approach)/Substudy: Flexible Brain Study
11,"Atorvastatin in Triple-Negative Breast Cancer (TNBC) Patients Who Did Not Achieve a Pathologic Complete Response (pCR) After Receiving Neoadjuvant Chemotherapy, a Multicenter Pilot Study"
1109,Intermittent Calorie Restriction and Brain Function in MCI
1117,Prevention of Maternal and Neonatal Death/Infections With a Single Oral Dose of Azithromycin in Women in Labor (in Low- and Middle-income Countries): a Randomized Controlled Trial
11,A Phase 3 Randomized Study of Selumetinib Versus Carboplatin/Vincristine in Newly Diagnosed or Previously Untreated Neurofibromatosis Type 1 (NF1) Associated Low-Grade Glioma (LGG)
11,Intermittent Pneumatic Compression With and Without Exercise to Improve Functioning in Peripheral Artery Disease: The INTERCEDE TRIAL
1102,"Seamless Phase II-Phase III Randomized Clinical Trial to Identify and Confirm the Most Promising Novel Intervention to Alleviate Morbidity and Mortality After Allogeneic Hematopoietic Cell Transplantation Among Older, Medically Infirm, or Frail Patients With Hematological Diseases"
1117,Assessing Financial Difficulty in Patients With Blood Cancers
11,A Pilot Study of Neoadjuvant High Dose Vitamin A for Resectable Non-Small Cell Lung Cancer
1109,Cryocompression for Bortezomib-Induced Peripheral Neuropathy Among Multiple Myeloma Patients
1117,Validation of the Schistosomiasis Point-of-Care Circulating Cathodic Antigen (POC-CCA) Rapid Urine Test for Qualitative Detection of Schistosoma Japonicum
1109,Cerebral Cortical Influences on Autonomic Function
11,Open Label Safety Study of Solriamfetol to Promote Wakefulness and Improve Cognition and Quality of Life in Patients With Primary Gliomas
11,Device Assisted Exercises for Improving Soft Palate and Eustachian Tube Function in Children Between Ages 6-17 With or Without Cleft Palate and With Ventilation Tubes
11,Phase II Study of Brigatinib for Advanced Solid Cancers Harboring Genomic Alterations in ALK (Excluding Lung) and ROS1 Oncogenes
11,Pilot Study Assessing the Efficacy of Oxaliplatin Based Pressurised IntraPeritoneal Aerosol Chemotherapy (PIPAC) for the Treatment of Colorectal Peritoneal Metastases
11,Pilot Study of 18F Fluciclovine PET CT in Identification of the Primary in Patients With an Unknown Primary Head and Neck Squamous Cell Carcinoma Presenting With Metastatic Cervical Nodal Disease
1117,Phone Coaching and Internet-delivered Weight Loss
1117,Brain Injury Support and Strategies for Families Impacted by Childhood TBI
11,Efficacy and Mechanistic Testing of a Self-Management Intervention for Managing Chronic Pain With Cancer Survivors
11,The Evaluation and Management of Endocrine-Related Conditions and Physiology
1109,Assessing Clinical Endpoint and Biomarkers in Myotonic Dystrophy Type-1 and Type-2
11,A Randomized Trial of Consolidative Immunotherapy With vs Without Thoracic Radiotherapy and / or Stereotactic Body Radiation Therapy (SBRT) After First-Line Systemic Therapy for Metastatic NSCLC
1117,Healthy Mothers-Healthy Children: An Intervention With Hispanic Mothers and Their Young Children
1117,"Targeting High Risk Teens in the Emergency Department: A User-Informed, Theory-Based Intervention Using Text Messaging to Reduce Teen Pregnancy"
11,A Pilot Study Evaluating Photobiomodulation Therapy for Diabetic Macular Edema
11,"A Phase II Study of Ipilimumab, Cabozantinib, and Nivolumab in Rare Genitourinary Cancers (ICONIC)"
11,"Curcumin for Breast Cancer Survivors With Aromatase Inhibitor-Induced Joint Arthropathy - A Randomized, Double-Blinded, Controlled Pilot Study"
1117,Individualizing Surveillance Mammography for Older Breast Cancer Survivors
11,Effects of Ondansetron on Gastrointestinal Sensorimotor Dysfunctions in Diabetes Mellitus and Dyspepsia
11,"Phase I Trial to Evaluate the Safety and Efficacy of Intratumoral and Intravenous Injection of Vesicular Stomatitis Virus Expressing Human Interferon Beta, and Tyrosinase Related Protein 1 (VSV-IFNb-TYRP1) in Patients With Metastatic Ocular Melanoma and Previously Treated Patients With Unresectable Stage III/IV Cutaneous Melanoma"
1117,Brief Depression Intervention to Optimize Intensive Outpatient Methamphetamine Treatment Among Gay and Bisexual Men Who Have Sex With Men
11,"A Phase I Study of Subcutaneous Rituximab Hyaluronidase Combined With Local Standard-of-Care Chemotherapy for the Treatment of Burkitt Lymphoma, Diffuse Large B-Cell Lymphoma or as Monotherapy for Kaposi Sarcoma Herpesvirus Associated Multicentric Castleman Disease in Pediatrics Children, Adolescents, and Adults in Uganda"
1117,"Impact of Steady State Cobicistat and Darunavir/Dobicistat on the Pharmacokinetics and Pharmacodynamics of Oral Anticoagulants (Rivaroxaban, Apixaban) in Healthy Volunteers (CLOTRx)"
11,Inositol Supplementation to Treat Polycystic Ovary Syndrome: A Double Blind Dose Ranging RCT (INSUPP-PCOS)
1117,Self-Affirmation in the Context of Stigma-Induced Identity Threat Among Smokers
1102,E-Cigarette Effects on Markers of Cardiovascular and Pulmonary Disease Risk (Aka CLUES - Cardiac and LUng E-cig Smoking Study)
1117,Scenario Tailored Opioid Messaging Program (STOMP) to Improve Risk Understanding in Young Adults
11,"A Phase I/II Study of Azacitidine, Venetoclax and Pevonedistat in Adults With Newly Diagnosed Secondary or Therapy-Related AML"
11,"Randomized Phase II Trial of Total Gut Decontamination Followed by Fecal Microbiota Transplant (FMT), FMT-Alone or Standard of Care for Reduction in Acute Graft-Versus-Host Disease of the Gastrointestinal Tract in Patients Given Broad-Spectrum Antibiotics"
11,Image-guided Focal Brachytherapy Utilizing Combined 18F-DCFPyl PET/CT and Dynamic Dosimetry With Registered Ultrasound and Fluoroscopy for Localized Prostate Cancer
1117,Me & My Wishes: An Efficacy Trial of Long Term Care Residents With Alzheimer's Using Videos to Communicate Care Preferences With Caregivers
1117,The Effect of Electronic Cigarette Liquid Characteristics in Smokers.
11,Secondary Versus Tertiary Wound Closure in High Risk Gynecologic Abdominal Surgical Incisions
11,Evaluation of a Novel PET Radioligand for Phosphodiesterase-4D (PDE4D)
11,A Phase II Study of Neoadjuvant Androgen Deprivation Therapy Combined With Enzalutamide and Abiraterone Using Multiparametric MRI and 18F-DCFPyL-PET/CT in Newly Diagnosed Prostate Cancer
1117,Increasing the Dose of Survivorship Care Planning in Prostate Cancer Survivors Who Receive Androgen Deprivation Therapy
2,Therapeutic Diets in Alzheimer's Disease
1117,"Impact of Nicotine Reduction on Adolescent Cigarette Use, Alternative Tobacco Use, and Harm From Tobacco"
11,Developing Rumination-focused Treatment to Reduce Risk for Depression Recurrence (RDR) in Adolescence
1117,Reducing Post-Hospital Mortality in HIV-infected Adults in Tanzania
11,Inhaled Essential Oil Effect on Common Quality of Life Concerns During Cancer Treatment
11,Quantifying the Influence of Yogic Breathwork on Cerebrospinal Fluid Circulation
11,Phase II Multi-Institutional Study of Low-Dose (2Gy x 2) Palliative Radiotherapy in the Treatment of Symptomatic Bone Metastases From Multiple Myeloma
11,The Effects of Exercise and Nutrition Interventions on Chemotherapy-induced Peripheral Neuropathy and Interoceptive Brain Circuitry
1117,Improving Surgical Care and Outcomes in Older Cancer Patients Through Implementation of an Efficient Pre-Surgical Toolkit (OPTI-Surg)
11,"A Phase 1 Double-blind, Randomized, Controlled Clinical Trial in Healthy, HIV-1-Uninfected Adult Participants to Compare the Safety, Tolerability and Immunogenicity of CH505TF gp120 Produced From Stably Transfected Cells to CH505TF gp120 Produced From Transiently Transfected Cells"
1117,"Gender Differences in Standardized Research E-Cigarette (SREC) Product Use, Acceptability, Reinforcement, and Nicotine Dependence Symptoms"
1102,Addition of Inotuzumab Ozogamicin Pre- and Post-Allogeneic Transplantation
17,A Novel Bench-to-Bedside Translational Model of Anhedonia
11,"A Phase 1/2 Study of MLN9708 (Ixazomib [I]), Venetoclax (V), and Dexamethasone (D) Regimen (IVD) to Restore or Enhance Proteasome Inhibitor (PI) Sensitivity in Non-t(11;14) Relapsed/Refractory Multiple Myeloma (RRMM)"
1117,"Patient Perception of Physician's Compassion, Communication Skills, and Professionalism During Clinic Visits: A Randomized Controlled Trial (EHR Study #2)"
8,Web-Based Problem Solving Self-Management Program for African Americans With Type 2 Diabetes
1117,Caminamos: A Location-based Smartphone App for Latinas to Connect With Nearby Walking Partners Ph II
11,A Pilot Study of Tazemetostat and MK-3475 (Pembrolizumab) in Advanced Urothelial Carcinoma
11,Longitudinal Studies of Patient With FPDMM
1109,Cortical Functional Connectivity as an Early Biomarker of Recovery in Spinal Cord Injury (Study 239481)
11,A Phase I/IB Study of Ipatasertib in Combination With Carboplatin or Carboplatin/Paclitaxel in Patients With Metastatic Triple Negative Breast Cancer
1117,Developing a Pain Identification and Communication Toolkit for Family Caregivers of Persons With Dementia
1102,Investigating Fear Of Recurrence as a Modifiable Mechanism of Behavior Change to Improve Medication Adherence in Acute Coronary Syndrome Patients
11,Sodium-Glucose CoTransporter 2 (sGLT2) Inhibitor and Endogenous Ketone Production
1117,"Pivotal Study of a Single-Use, Point-of-Care Molecular Diagnostic Device for the Detection of Neisseria Gonorrhoeae (NG), Trichomonas Vaginalis (TV), and Chlamydia Trachomatis (CT) in Women"
1117,The Role of Parents in Adolescent Obesity Treatment: Randomized Control Trial of TEENS+
1102,LUNGMAP: A Master Protocol To Evaluate Biomarker-Driven Therapies And Immunotherapies In Previously-Treated Non-Small Cell Lung Cancer (Lung-Map Screening Study)
11,Novel CCR2 PET for Pancreatic Cancer Imaging and Prediction of Response to Standard and CCR2-Targeted Therapy
1102,"A Multi-Center, Open-Label Phase 1b/2 Study of Inotuzumab Ozogamicin and Vincristine Sulfate Liposome in Adult Patients With Relapsed/Refractory B Lineage Acute Lymphoblastic Leukemia (B-ALL)"
1117,SIMPRO Research Center: Integration and Implementation of PROs for Symptom Management in Oncology Practice
1117,Alcoholic Hepatitis Network Observational Study
11,Restoration of Spectral Resolution With Hearing-aid Amplification
11,Comparison of Tubomanometry and EarPopper Devices for Eustachian Tube Function Testing in Children and Adults
1117,Enhancing Medication Safety in Children With Polypharmacy Using Parent- Reported Symptom Assessments
1102,Impact of Thrombocytopenia and Platelet Transfusions on Neonatal Bleeding and Inflammation
1117,Strategic Antiretroviral Therapy and HIV Testing for Youth in Rural Africa
1102,Impact of Poor Sleep on Inflammation and the Adenosine Signaling Pathway in HIV Infection
1117,Preventing Alzheimer's Disease With Cognitive Training: The PACT Trial
1117,Can Novel Telemedicine Tools Reduce Disparities Related to Early Identification of Autism
17,Oxytocin to Enhance Alcohol Behavioral Couple Therapy (ABCT)
1117,A Technology Solution for Peer-led Seeking Safety
1117,"Piloting ""Signs of Safety"": A Deaf-Accessible Therapy Toolkit for Alcohol Use Disorder and Trauma"
11,A Phase II Study of Rucaparib in Patients With Genomic LOH High and/or Deleterious BRCA1/2 Mutation Stage IV or Recurrent Non-Small Cell Lung Cancer (LUNG-MAP Sub-Study)
1102,Optimization and Evaluation of a Tailored Behavioral eHealth/mHealth Weight Loss Intervention for Cardiac Rehabilitation Patients Using the Multiphase Optimization Strategy
1117,Mucosal Correlates of Protection After Influenza Viral Challenge of Vaccinated and Unvaccinated Healthy Volunteers
1113,A Survey Study of Retinitis Pigmentosa (RP) Clinical Measures and Repeatability Testing of Potential Outcome Measures
1117,Alcohol Treatment Outcomes Following Early vs. Standard Liver Transplant for Severe Alcoholic Hepatitis (SAH)
11,A Phase II Study of Preoperative Immunotherapy in Patients With Colorectal Cancer and Resectable Hepatic Metastases
1117,Impact of E-cigarette Characteristics on Reinforcement and Tobacco Use Patterns Among
11,Real-Time Continuous Glucose Monitoring to Aid Weight Loss in Prediabetes
11,A Randomized Study Evaluating Tailoring of Advanced/Metastatic Colorectal Cancer (CRC) Therapy Using Circulating Cell-Free Tumor DNA (ctDNA) (TACT-D)
11,Vestibulodynia: Understanding Pathophysiology and Determining Appropriate Treatments
11,A Phase I Pilot Study to Evaluate the Safety and Immunogenicity of the HIV-1 Vaccines MVA.tHIVconsv3 (M3) and MVA.tHIVconsv4 (M4) Given Alone or In Combination in HIV-1-Infected Adults Suppressed on Antiretroviral Therapy - The M&M Study
1117,Effectiveness and Implementation of mPATH-CRC: a Mobile Health System for Colorectal Cancer Screening
11,The ARMOR Trial: Commensal Oral Microbiota as a Trigger of Oral Mucositis Severity
1117,Decisions About Exercise During Weight Loss: Pilot Study
11,Resilience in Action: Building Resilience and Appropriate Independence in Young Adults With Autism
11,"A Phase 1b Biomarker-Driven Combination Trial of Copanlisib, Olaparib, and MEDI4736 (Durvalumab) in Patients With Advanced Solid Tumors"
17,tDCS to Decrease Opioid Relapse
1117,Understanding Mechanisms of Normal and Disordered Defecation
1117,Engaging Self-Regulation Targets to Understand the Mechanism of Behavior Change and Improve Mood and Weight Outcomes- Second Phase (ENGAGE-2)
1109,Behavioral Studies of Cardiovascular Disease
11,The Use of 124-I-PET/CT Whole Body and Lesional Dosimetry in Differentiated Thyroid Cancer
1111,Enhanced Mediterranean Diet for Alzheimer's Disease Prevention
1109,Cholinergic Neurotransmission - A Common Underlying Mechanism of Cognitive and Gait Impairment in Parkinson Disease
1111,Linking Temporal Patterns of Modifiable Behaviors to Weight Loss Outcomes
1117,Nicotine Withdrawal and Reward Processing: Connecting Neurobiology to Real-world Behavior
11,Phase III Placebo-Controlled Trial to Evaluate Dexamethasone Use for Everolimus-Induced Oral Stomatitis: Prevention Versus Early Treatment Approaches
1102,Short-Term Cardiovascular Effects of E-Cigarettes: Influence of Device Power
11,Translational Control of Anabolic Resistance in Aging Muscle
1117,Preventing Cardiometabolic Disease in HIV-Infected Latino Men Through a Culturally-Tailored Health Promotion Intervention
11,Effects of Transdermal Nicotine on Response Inhibition to Emotional Cues in Schizophrenia
1117,Developing an Adaptive Intervention for Suicidal Adolescents Following Inpatient Hospitalization: A Pilot SMART
1117,Symptom-Targeted Randomized Intervention for Distress and Adherence to Adjuvant Endocrine Therapy (STRIDE) Among Breast Cancer Survivors: A Pilot Feasibility Trial
1117,Development and Testing of a Depression-Specific Behavioral Activation Mobile App Paired With Nicotine Replacement Therapy Sampling for Smoking Cessation Treatment Via Primary Care
11,Contribution of Pain Catastrophizing to Race Group Differences in Pain and Pain-Related Brain Responses in Older Adults With Knee Osteoarthritis (OA)
1117,Development of a Risk Prediction Screening Tool for Opioid-Prescription Injury (STOP Injury) in Older Adults Initiated on Opioids From the Emergency Department
11,Prospective Study to Identify Food-Specific and Component IgE Threshold Levels That Predict Food Allergy in Patients With Elevated Total Serum IgE Levels and Atopic Dermatitis
1117,Using a Narrative-Based Approach to Reducing Indoor Tanning
11,"Larotrectinib (LOXO-101, NSC# 788607) for Previously Untreated TRK Fusion Pediatric Solid Tumors and TRK Fusion Relapsed Pediatric Acute Leukemias"
1117,A Community-Clinic Collaboration to Improve Outcomes in HIV+ Substance Users Released From Jail
1102,BREATHES: Bringing Respiratory Education for Improved Adherence and Technique Home Through E-interventions for Self-management
1117,Nudges and Incentives to Enhance the Opioid Treatment Workforce
1110,A Communication-based Intervention for Advanced Cancer Patient-caregiver Dyads to Increase Engagement in Advance Care Planning and Reduce Caregiver Burden
1117,UControlPain App (This is the Official IRB Title)
1117,Reporting Adult-Onset Genomic Results to Pediatric Biobank Participants and Parents
1117,Kidney Coordinated Health Management Partnership
8,"Care.Coach Avatars for Improvement of Outcomes in Hospitalized Elders, Including Mitigation of Falls and Delirium, Through Psychosocial Support and Protocol-Driven Interventions Based on the Hospital Elder Life Program: a Multi-Site Clinical Study"
1117,The Influence of ANS-6637 on Midazolam Pharmacokinetics in Healthy Volunteers (SEARCH PK)
1117,Long-Term Follow UP of Survivors of Pediatric Cushing Disease
1108,An Exploratory Study of Combination Therapy With VRC-HIVMAB060-00-AB (VRC01) and 10-1074 in HIV-Infected Individuals Undergoing Sequential Treatment Interruptions
11,A Phase I/II Study of AZD9291(Osimertinib) and CB-839 HCl in Patients With EGFR Mutant Non-Small Cell Lung Cancer
1117,Adaptation and Pilot Study of Yoga to Reduce Depression in Adolescents
1117,Adaptation and Pilot Study of Yoga to Reduce Depression in Adolescents
1117,Pharmacologically-based Strategies for Buprenorphine Treatment During Pregnancy
11,"A Phase 1b/2 Randomized, Open-Label Study of Niraparib Plus Temozolomide Versus Best Supportive Care as Maintenance Therapy in Patients With Extensive-Stage Small Cell Lung Cancer With a Complete or Partial Response to Platinum-Based First-Line Chemotherapy (TRIO-US L-06)"
2,Effects of E-Cigarette Power and Nicotine Content in Dual Users and Vapers
6,Long Term Follow-up of Mesothelioma Patients and Their Family Members With Germline Mutations in BAP1 and Other Genes
11,"Pentoxifylline, Atorvastatin and Vitamin E (PAVE) as Treatment for Radiation-Induced Erectile Dysfunction"
1109,Hyperpolarized Pyruvate Imaging of Glioma: Imaging-Pathological Correlation
17,Cerebellar Repetitive Transcranial Magnetic Stimulation (rTMS) for Reduction of Negative Affect and Treatment of Alcohol Use Disorder
11,Vitamin C Infusion for TReatment in Sepsis and Alcoholic Hepatitis
11,Cognitive Adaption Training-Effectiveness in Real-world Settings and Mechanism of Action (CAT-EM)
11,Pilot Study to Evaluate the Biologic Effect of CBM588 in Combination With Nivolumab/Ipilimumab for Patients With Metastatic Renal Cell Carcinoma
11,An Open-Label Phase 1 Study of Metformin in Combination With Nelfinavir in Patients With Relapsed and/or Refractory Multiple Myeloma
1117,Technology Based Community Health Nursing(TECH-N) to Prevent Recurrent STIs After PID
1109,Modulation of Alpha and Theta Oscillations in a Cognitive Control Retrospective Cue Task With Frequency Specific Rhythmic Transcranial Magnetic Stimulation
17,Enhancing Evidence-Based Treatment of Hoarding Disorder With Virtual Reality
1117,Developing and Evaluating In-Home Supportive Technology for Dementia Caregivers
1117,Smartphone Help for DWI Offenders and Their Families: A B-SMART App
1113,Adalimumab vs. Conventional Immunosuppression for Uveitis Trial
1102,HeartMapp: A Closed-loop Assessment and Treatment Mobile Application for Heart Failure. A Pilot Randomized Clinical Trial
1117,"A Phase 1, Double-Blinded, Placebo Controlled, Clinical Trial to Evaluate the Safety, Reactogenicity, and Immunogenicity of HEV-239 (Hecolin(R)) in a Healthy US Adult Population"
11,Retrospective Study of Immunotherapy Related Toxicities in Children and Adults With Cancer
1117,Retrospective Chart Review of Candida Fungemia
11,Transcranial Magnetic Stimulation and Tobacco Use Disorder: A Network-Level Approach With Attention to Sex as a Biological Variable
11,Post-Stroke Optimization of Walking Using Explosive Resistance: Concurrent Effects on Depression (POWER-D Trial)
1117,Technology-Based Intervention for Reducing Sexually Transmitted Infections and Substance Use During Pregnancy
1109,TRANScranial Direct Current Stimulation for POst-stroke Motor Recovery - a Phase II sTudy (TRANSPORT 2)
11,CPX-351 Plus Enasidenib for Relapsed Acute Myelogenous Leukemia Characterized by the IDH2 Mutation
1117,Project CARE (Community Treatment Adherence at Re-Entry): An Integrated Treatment Adherence Program for Bipolar Disorder at the Time of Prison Release - Open Trial
11,Short-term Effects of Methamphetamine Exposure on Residual Viral Transcription During Treated HIV Disease
